Symbol
DIS
UHS
GOOGL
LOW
BSX
HPE
CEG
EOG
SBAC
STT
DVN
VRTX
BK
ALL
WY
OXY
ON
EXC
UAL
AKAM
SMCI
LYV
AMD
VLO
NI
DRI
SJM
VLTO
MAS
CMG
