,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity,DIS US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-04-17,79.99,78.7,80.22,78.6,7627952.0,140147.206
2014-04-21,79.11,79.96,79.98,78.69,7080747.0,138605.394
2014-04-22,79.45,79.22,79.89,79.21,5876138.0,139201.0941
2014-04-23,79.52,79.53,79.95,78.97,4149634.0,139323.7382
2014-04-24,79.59,79.74,80.06,79.11,4635013.0,139446.3823
2014-04-25,78.23,79.46,79.46,78.16,6193863.0,137063.582
2014-04-28,77.78,78.76,79.06,76.88,7522690.0,136275.1554
2014-04-29,78.64,78.35,78.68,77.74,4608880.0,137781.9262
2014-04-30,79.34,78.5,79.53,78.1804,6550228.0,139008.3676
2014-05-01,79.56,79.35,79.8699,79.2599,6486920.0,139393.8206
2014-05-02,80.31,79.62,80.55,79.62,7599763.0,140707.8649
2014-05-05,81.22,80.42,81.31,79.8,5672735.0,142302.2386
2014-05-06,81.03,81.59,81.63,80.8,10696487.0,140331.3287
2014-05-07,80.29,81.65,82.44,80.12,11907798.0,139049.7641
2014-05-08,81.6,80.21,82.27,80.07,9258242.0,141318.4799
2014-05-09,81.95,81.27,82.02,80.9,5376634.0,141924.6253
2014-05-12,82.42,82.08,82.94,82.08,5704379.0,142738.5921
2014-05-13,82.08,82.43,82.7512,81.75,5274805.0,142149.7651
2014-05-14,80.92,81.77,82.18,80.63,6192041.0,140140.8259
2014-05-15,80.15,80.64,80.8299,79.21,7688663.0,138807.3059
2014-05-16,80.39,80.17,80.42,79.34,5823957.0,139222.9485
2014-05-19,81.05,80.43,81.38,80.14,4897949.0,140365.9656
2014-05-20,81.09,80.94,81.76,80.52,6023361.0,140435.2394
2014-05-21,82.19,81.42,82.34,81.42,4736535.0,142340.2679
2014-05-22,82.35,82.19,82.79,82.04,4651995.0,142617.363
2014-05-23,83.32,82.19,83.3624,82.19,4580584.0,144297.2518
2014-05-27,83.74,83.56,83.98,83.32,5197723.0,145024.6263
2014-05-28,83.6,83.8,83.9,83.25,4652083.0,144782.1681
2014-05-29,84.03,83.92,84.09,83.43,6522392.0,145526.8611
2014-05-30,84.01,83.81,84.39,83.62,6351807.0,145492.2242
2014-06-02,84.27,84.27,84.42,84.01,3933943.0,145942.5037
2014-06-03,83.88,84.07,84.2333,83.72,4541453.0,145267.0845
2014-06-04,84.24,83.85,84.395,83.31,5800205.0,145890.5483
2014-06-05,84.78,84.37,84.95,83.9,5955977.0,146825.7442
2014-06-06,84.61,84.91,84.99,84.265,5302807.0,146531.3307
2014-06-09,85.48,84.6,85.86,84.53,5672010.0,148038.0351
2014-06-10,84.75,85.4,85.4,84.7,4632627.0,146773.7888
2014-06-11,84.31,84.6,84.81,84.17,4300940.0,146011.7774
2014-06-12,82.8,84.03,84.2,82.6,7237220.0,143396.6928
2014-06-13,82.8,82.75,82.985,81.8,4711915.0,143396.6928
2014-06-16,83.3,82.64,83.44,82.56,5181129.0,144262.6149
2014-06-17,83.16,82.98,83.46,82.6123,4536152.0,144020.1567
2014-06-18,83.58,83.18,83.745,82.805,4536536.0,144747.5312
2014-06-19,83.77,83.65,83.92,83.25,4327002.0,145076.5816
2014-06-20,82.82,84.07,84.08,82.79,11073748.0,143431.3297
2014-06-23,82.76,82.85,82.93,82.32,3947865.0,143327.4191
2014-06-24,82.68,82.68,83.57,82.49,5057264.0,143188.8715
2014-06-25,83.9,82.67,84.32,82.48,7899781.0,145301.7214
2014-06-26,84.45,84.68,84.68,83.77,6424106.0,146254.2356
2014-06-27,85.3,84.13,85.39,84.13,17932432.0,147726.3031
2014-06-30,85.74,85.44,86.07,85.07,6997990.0,148488.3145
2014-07-01,86.47,85.81,86.8693,85.76,5608207.0,149752.5607
2014-07-02,86.44,86.58,86.705,86.2,4439758.0,149700.6054
2014-07-03,86.84,86.7,86.98,86.5,3210405.0,150393.3431
2014-07-07,86.59,86.61,86.82,86.32,4897895.0,149960.382
2014-07-08,85.86,86.19,86.32,85.68,4733747.0,148696.1358
2014-07-09,87.22,86.0,87.285,85.85,6317683.0,151051.4438
2014-07-10,86.86,86.53,87.61,86.19,7249673.0,150427.9799
2014-07-11,86.89,87.0,87.36,86.37,5016396.0,150479.9353
2014-07-14,86.76,87.46,87.49,86.66,4017054.0,150254.7955
2014-07-15,86.15,86.58,86.65,85.5396,7006703.0,149198.3706
2014-07-16,85.35,86.69,87.63,85.12,10679328.0,147812.8953
2014-07-17,85.03,85.33,86.19,84.87,6886606.0,147258.7052
2014-07-18,85.81,85.44,85.98,85.1703,4719105.0,148609.5436
2014-07-21,85.74,85.81,86.0,85.5,4800402.0,148488.3145
2014-07-22,86.21,86.37,86.56,85.51,4984215.0,149302.2813
2014-07-23,86.04,86.31,86.53,85.76,3650328.0,149007.8678
2014-07-24,86.8,86.5,86.962,86.31,4174497.0,150324.0693
2014-07-25,86.23,86.3,86.7,86.05,4666234.0,149336.9181
2014-07-28,87.15,86.43,87.215,85.81,4547120.0,150930.2147
2014-07-29,86.2,87.29,87.3,86.16,5479099.0,149284.9628
2014-07-30,87.21,86.62,87.27,86.091,7299155.0,151034.1254
2014-07-31,85.88,86.59,86.95,85.69,6343453.0,148730.7727
2014-08-01,85.38,85.39,86.01,85.21,6759649.0,147864.8506
2014-08-04,87.24,86.17,87.52,86.01,8262656.0,151086.0807
2014-08-05,86.75,87.14,87.24,86.02,9361789.0,148910.2402
2014-08-06,86.59,86.18,87.62,86.17,9793689.0,148635.5931
2014-08-07,85.51,86.99,87.01,85.23,7916861.0,146781.725
2014-08-08,86.85,85.65,86.89,85.62,6382687.0,149081.8947
2014-08-11,87.5,87.07,87.98,87.05,5052787.0,150197.6486
2014-08-12,87.21,87.15,87.62,86.78,4510527.0,149699.8507
2014-08-13,87.6,87.74,87.95,87.42,4533219.0,150369.3031
2014-08-14,88.61,88.03,88.91,87.81,8218205.0,152103.0131
2014-08-15,89.28,89.02,89.47,88.69,8211200.0,153253.0979
2014-08-18,89.97,89.66,90.365,89.58,4977060.0,154437.5137
2014-08-19,90.09,90.13,90.29,89.64,4153038.0,154643.499
2014-08-20,89.84,89.92,90.05,89.67,3894514.0,154214.3629
2014-08-21,90.38,90.06,90.53,89.975,4719099.0,155141.2969
2014-08-22,90.49,90.13,90.9,90.12,4762155.0,155330.1168
2014-08-25,90.38,90.95,91.14,90.3,3515384.0,155141.2969
2014-08-26,90.02,90.61,90.67,89.94,4117717.0,154523.3409
2014-08-27,90.37,90.14,90.41,89.977,3739669.0,155124.1315
2014-08-28,90.23,89.98,90.49,89.96,2678393.0,154883.8153
2014-08-29,89.88,90.32,90.379,89.33,4179401.0,154283.0247
2014-09-02,90.8,90.18,90.93,90.15,5601956.0,155862.2457
2014-09-03,90.94,91.06,91.16,90.6701,3684009.0,156102.5619
2014-09-04,90.14,90.87,91.2,90.01,5458719.0,154729.3262
2014-09-05,90.94,90.14,90.94,90.1,4597562.0,156102.5619
2014-09-08,90.56,90.76,90.84,90.16,4331230.0,155450.275
2014-09-09,89.6,90.5,90.54,89.51,4797688.0,153802.3922
2014-09-10,89.52,89.54,89.82,88.75,5078620.0,153665.0686
2014-09-11,89.97,89.2,90.041,89.06,4102227.0,154437.5137
2014-09-12,89.67,90.1,90.2,89.25,3888474.0,153922.5503
2014-09-15,90.08,89.74,90.37,89.56,4909956.0,154626.3336
2014-09-16,90.27,89.71,90.43,89.46,4333970.0,154952.477
2014-09-17,90.33,90.58,90.77,89.97,4058070.0,155055.4697
2014-09-18,90.34,90.31,90.5,89.91,4343618.0,155072.6352
2014-09-19,90.49,90.8,91.15,90.39,13382935.0,155330.1168
2014-09-22,89.29,90.49,90.61,89.19,5003007.0,153270.2634
2014-09-23,88.31,89.12,89.235,88.23,6155770.0,151588.0497
2014-09-24,89.45,88.36,89.64,88.24,5616214.0,153544.9105
2014-09-25,88.07,89.26,89.6,88.06,7081657.0,151176.079
2014-09-26,88.74,88.15,88.89,87.91,5796117.0,152326.1639
2014-09-29,88.83,88.12,89.045,87.36,5190828.0,152480.6529
2014-09-30,89.03,88.84,89.54,88.54,4832868.0,152823.9618
2014-10-01,87.49,89.08,89.24,87.2,7512499.0,150180.4832
2014-10-02,86.79,87.5,87.66,84.65,11051144.0,148978.902
2014-10-03,88.45,88.1,88.9,87.55,7552890.0,151828.3659
2014-10-06,88.56,88.79,89.18,88.07,4051853.0,152017.1858
2014-10-07,87.11,88.0,88.26,87.04,6225508.0,149528.1962
2014-10-08,88.11,87.06,88.15,86.33,7007965.0,151244.7408
2014-10-09,85.71,88.03,88.16,85.57,8727122.0,147125.0339
2014-10-10,86.27,85.92,87.0,85.4,12675546.0,148086.2988
2014-10-13,83.91,85.92,86.39,83.76,9039814.0,144035.2537
2014-10-14,84.14,84.75,85.52,83.9,8607117.0,144430.0589
2014-10-15,82.08,82.39,83.76,78.54,21844427.0,140893.9771
2014-10-16,81.74,79.93,82.47,79.55,13216697.0,140310.352
2014-10-17,83.83,82.68,84.66,82.68,12386547.0,143897.9301
2014-10-20,85.52,84.23,85.61,84.145,8306147.0,146798.8904
2014-10-21,87.54,86.32,87.68,86.25,9170356.0,150266.3104
2014-10-22,87.1,87.94,88.61,86.98,9314515.0,149511.0308
2014-10-23,87.99,88.21,88.63,87.76,7245328.0,151038.7555
2014-10-24,88.61,87.91,88.655,87.58,4937482.0,152103.0131
2014-10-27,88.45,88.47,88.99,88.24,5644486.0,151828.3659
2014-10-28,89.93,89.04,89.96,88.9501,4554351.0,154368.8519
2014-10-29,89.53,89.84,90.25,88.9501,5442103.0,153682.2341
