,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-03-04,45.24,44.73,45.5,44.73,3811717.0,16809.2072
2014-03-05,47.1,45.42,47.38,45.36,4926647.0,17500.302
2014-03-06,47.98,47.59,48.85,47.58,6104221.0,17827.2715
2014-03-07,47.75,48.22,48.4996,46.97,2848132.0,17741.8136
2014-03-10,46.66,47.71,49.18,46.41,4580279.0,17336.8172
2014-03-11,46.2,46.63,47.13,45.92,2994809.0,17165.9013
2014-03-12,45.94,45.99,46.57,45.57,3210237.0,17069.2966
2014-03-13,44.93,46.18,46.23,44.5,3631950.0,16694.0248
2014-03-14,44.4,44.69,45.43,44.18,4864865.0,16497.0999
2014-03-17,45.64,44.98,45.94,44.4725,4947735.0,16957.8298
2014-03-18,45.22,45.64,46.94,45.16,4338037.0,16801.7761
2014-03-19,44.67,45.2,45.5,44.38,3595624.0,16597.4201
2014-03-20,45.23,44.47,45.38,44.1,3493065.0,16805.4917
2014-03-21,44.33,45.43,45.47,43.84,6295762.0,16471.091
2014-03-24,44.45,45.03,45.26,43.65,4280287.0,16515.6778
2014-03-25,45.2,44.68,45.5,44.5,3210995.0,16794.345
2014-03-26,44.13,45.48,45.68,44.13,3312092.0,16396.7797
2014-03-27,43.89,44.0,44.08,42.85,3501109.0,16307.6062
2014-03-28,42.96,44.0,44.84,42.91,3381816.0,15962.0589
2014-03-31,44.63,43.26,44.8,43.26,3105654.0,16582.5579
2014-04-01,46.9,45.97,46.92,45.77,6528070.0,17425.9907
2014-04-02,47.23,47.01,48.2,46.95,3946326.0,17548.6043
2014-04-03,46.45,47.03,47.44,45.75,2967855.0,17258.7904
2014-04-04,44.88,46.81,46.97,44.53,3915684.0,16675.447
2014-04-07,44.35,44.5,45.29,43.87,5027027.0,16478.5221
2014-04-08,43.31,44.23,44.69,42.77,6330100.0,16092.1036
2014-04-09,44.52,43.18,44.62,42.54,9320168.0,16541.6867
2014-04-10,42.28,44.41,44.75,42.26,5767035.0,15709.4006
2014-04-11,41.49,41.97,42.87,40.88,4168601.0,15415.8711
2014-04-14,41.12,41.88,42.0,40.43,4537769.0,15278.3953
2014-04-15,41.98,41.78,42.77,40.5,5000857.0,15597.9337
2014-04-16,43.94,42.27,44.49,42.19,4613910.0,16326.184
2014-04-17,43.55,44.0,44.03,42.77,3224087.0,16181.2771
2014-04-21,43.78,43.42,44.08,42.8,3539298.0,16266.735
2014-04-22,45.81,44.05,45.95,44.04,4664219.0,17020.9943
2014-04-23,46.06,47.06,47.49,45.51,4340517.0,17113.8834
2014-04-24,41.53,44.18,44.58,40.81,15590464.0,15511.6375
2014-04-25,39.41,41.52,41.54,39.25,13221276.0,14719.8082
2014-04-28,39.2,39.63,39.82,38.0633,11360706.0,14641.3723
2014-04-29,41.56,39.35,41.6,39.27,9453354.0,15522.8426
2014-04-30,40.87,41.66,42.17,40.49,8674730.0,15265.1246
2014-05-01,40.92,40.77,41.88,40.69,3201442.0,15283.7998
2014-05-02,40.72,41.01,41.34,40.25,2637734.0,15209.0989
