,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity,SBAC US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2014-02-10,93.17,92.64,93.2,91.86,881288.0,11961.9001
2014-02-11,94.73,93.44,95.17,93.04,989362.0,12162.1852
2014-02-12,94.17,94.75,94.92,93.53,986608.0,12090.2879
2014-02-13,95.14,93.44,95.66,93.44,858893.0,12214.8242
2014-02-14,96.36,94.77,96.41,94.77,747287.0,12371.4574
2014-02-18,96.6,96.89,96.91,96.21,505395.0,12402.2705
2014-02-19,97.69,96.61,97.81,96.0,747233.0,12542.2133
2014-02-20,99.21,98.37,99.53,97.78,1664791.0,12737.3629
2014-02-21,97.235,99.46,99.64,97.08,1220683.0,12483.7968
2014-02-24,95.9,97.17,98.29,95.87,1885891.0,12312.399
2014-02-25,95.34,96.36,96.38,94.93,1818948.0,12240.5018
2014-02-26,92.79,94.0,95.3,92.0,2724320.0,11913.1127
2014-02-27,94.89,93.68,96.02,93.245,1273409.0,12182.7272
2014-02-28,95.17,95.21,96.42,94.13,1090846.0,12218.6758
2014-03-03,95.18,94.06,95.73,94.05,1096555.0,12219.9597
2014-03-04,95.81,96.15,96.416,94.73,1359932.0,12300.8441
2014-03-05,95.24,96.01,96.01,94.48,1155644.0,12227.663
2014-03-06,95.53,95.2,95.77,94.91,632913.0,12276.2362
2014-03-07,95.08,96.19,96.22,94.77,758468.0,12218.4082
2014-03-10,94.56,94.97,95.54,93.97,737395.0,12151.5848
2014-03-11,94.99,95.25,96.24,94.55,1032517.0,12206.8426
2014-03-12,95.2,94.43,95.5,94.24,730427.0,12233.829
2014-03-13,94.87,95.67,96.07,94.4,723969.0,12191.4218
2014-03-14,94.96,94.45,96.124,94.034,606903.0,12202.9874
2014-03-17,94.51,94.98,95.3,94.45,494151.0,12145.1594
2014-03-18,94.72,94.4,95.69,94.21,505351.0,12172.1458
2014-03-19,93.74,94.97,95.05,93.04,779369.0,12046.2093
2014-03-20,93.51,93.21,94.35,93.16,657951.0,12016.6528
2014-03-21,91.89,93.88,94.25,91.78,1041100.0,11808.4721
2014-03-24,91.39,92.23,92.49,90.19,793129.0,11744.2188
2014-03-25,90.54,91.71,91.95,89.95,946050.0,11634.9882
2014-03-26,90.37,90.81,91.09,90.16,788163.0,11613.1421
2014-03-27,93.26,90.49,93.58,90.16,6283084.0,11984.5262
2014-03-28,92.25,93.59,93.9,91.97,786072.0,11877.9758
2014-03-31,90.96,92.67,93.03,90.72,1755718.0,11711.8772
2014-04-01,91.14,90.93,91.66,90.76,1917276.0,11735.0538
2014-04-02,89.98,91.38,91.39,89.48,2146319.0,11585.6939
2014-04-03,90.15,90.16,90.56,89.97,1503684.0,11607.5828
2014-04-04,88.14,90.58,90.78,87.03,2976690.0,11348.7781
