,STT US Equity,STT US Equity,STT US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-03-25,70.16,30283.4823,2990842.0
2014-03-26,68.64,29627.3977,3182178.0
2014-03-27,68.49,29562.6526,4528399.0
2014-03-28,68.99,29778.4698,2526911.0
2014-03-31,69.55,30020.1852,2177723.0
2014-04-01,69.57,30028.8179,2030619.0
2014-04-02,69.28,29903.6439,2622790.0
2014-04-03,69.49,29969.0364,1542123.0
2014-04-04,68.25,29434.2601,3350532.0
2014-04-07,66.52,28688.1609,2644336.0
2014-04-08,65.92,28429.3981,3678050.0
2014-04-09,67.07,28925.36,2595184.0
2014-04-10,65.15,28097.3193,2548416.0
2014-04-11,63.76,27497.8523,3290051.0
