,VRTX US Equity,VRTX US Equity,VRTX US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-11-13,112.72,27111.6178,1240701.0
2014-11-14,111.34,26779.6977,1127471.0
2014-11-17,111.62,26847.0439,930453.0
2014-11-18,111.04,26707.5412,1815113.0
2014-11-19,112.8,27130.8596,1988519.0
2014-11-20,112.89,27152.5065,2557395.0
2014-11-21,111.4,26794.1291,1300131.0
2014-11-24,113.8,27371.3814,1085941.0
2014-11-25,114.19,27465.1849,1786132.0
2014-11-26,115.39,27753.8111,1061103.0
2014-11-28,117.88,28352.7104,1121848.0
2014-12-01,116.85,28104.9729,1100988.0
2014-12-02,118.95,28610.0687,1168055.0
2014-12-03,120.18,28905.9105,1083698.0
2014-12-04,118.71,28552.3434,971710.0
2014-12-05,117.95,28369.5469,1123124.0
2014-12-08,119.38,28713.4931,1486666.0
2014-12-09,120.3,28934.7731,1056734.0
2014-12-10,117.2,28189.1555,1563140.0
2014-12-11,120.78,29050.2236,1299781.0
2014-12-12,118.55,28513.86,1329784.0
2014-12-15,112.88,27150.1013,2137989.0
2014-12-16,110.855,26663.0447,2113070.0
2014-12-17,111.85,26902.3639,2554198.0
2014-12-18,117.74,28319.0373,2148261.0
2014-12-19,118.9,28598.0426,6131369.0
2014-12-22,116.68,28064.0842,2098087.0
2014-12-23,113.75,27359.3553,4062358.0
2014-12-24,115.15,27696.0858,519021.0
2014-12-26,118.41,28480.1869,573348.0
2014-12-29,119.79,28812.107,935935.0
2014-12-30,119.15,28658.173,861209.0
2014-12-31,118.8,28573.9904,946341.0
2015-01-02,123.07,29601.0185,1442665.0
2015-01-05,121.03,29110.354,1684426.0
2015-01-06,117.36,28227.639,2289743.0
2015-01-07,120.66,29021.361,1219866.0
2015-01-08,123.97,29817.4881,1358285.0
2015-01-09,122.21,29394.1698,1069475.0
2015-01-12,118.31,28456.1347,2783167.0
2015-01-13,120.6,29006.9297,1631808.0
2015-01-14,120.38,28954.0149,1224932.0
2015-01-15,117.78,28328.6582,1052322.0
2015-01-16,122.86,29550.5089,1424710.0
2015-01-20,124.74,30002.6899,1102897.0
2015-01-21,125.085,30085.67,1196838.0
2015-01-22,127.3,30618.4258,1579283.0
2015-01-23,125.57,30202.323,977026.0
2015-01-26,125.12,30094.0882,1203838.0
2015-01-27,123.67,29745.3316,1103818.0
2015-01-28,121.26,29165.6741,1830552.0
2015-01-29,114.14,27453.1588,4027048.0
2015-01-30,110.14,26491.0716,3027762.0
2015-02-02,111.18,26741.2143,1797560.0
2015-02-03,108.72,26149.5306,2205090.0
2015-02-04,109.27,26281.8176,2302622.0
2015-02-05,111.59,26839.8282,1099180.0
2015-02-06,108.66,26135.0993,1718740.0
2015-02-09,107.88,25947.4923,1183820.0
2015-02-10,108.43,26079.7793,1282335.0
2015-02-11,108.62,26125.4784,990870.0
2015-02-12,109.63,26368.4055,1328765.0
2015-02-13,113.66,27515.8224,1689561.0
2015-02-17,113.4,27452.8793,999112.0
2015-02-18,113.57,27494.0344,960912.0
2015-02-19,111.97,27106.6922,1244059.0
2015-02-20,118.61,28714.1623,2467549.0
2015-02-23,117.12,28353.4499,1262645.0
2015-02-24,116.92,28305.0321,1011019.0
2015-02-25,118.84,28769.8428,1651106.0
2015-02-26,119.97,29043.4032,1303281.0
2015-02-27,119.43,28912.6752,1050126.0
2015-03-02,120.17,29091.821,1511228.0
