,JPM US Equity,JPM US Equity,JPM US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-07-17,57.86,218983.4879,17015955.0
2014-07-18,58.23,220383.8316,12803917.0
2014-07-21,58.24,220421.6788,9148506.0
2014-07-22,58.67,222049.1053,10376795.0
2014-07-23,59.0,221916.7029,11122085.0
2014-07-24,59.17,222556.1239,9844323.0
2014-07-25,59.01,221954.3159,10500572.0
2014-07-28,59.19,222631.3499,12383894.0
2014-07-29,58.64,220562.6349,13498827.0
2014-07-30,58.91,221578.1859,11821992.0
2014-07-31,57.67,216914.1738,15958788.0
2014-08-01,56.48,212438.2268,23916665.0
2014-08-04,56.65,213076.569,13547228.0
2014-08-05,56.06,210857.4132,16863698.0
2014-08-06,56.23,211496.831,12192567.0
2014-08-07,55.91,210293.221,11743838.0
2014-08-08,56.34,211910.5719,12213225.0
2014-08-11,56.32,211835.3463,9066796.0
2014-08-12,56.35,211948.1847,11290657.0
2014-08-13,56.72,213339.8587,7019479.0
2014-08-14,56.98,214317.7917,8275920.0
2014-08-15,56.75,213452.6971,12727664.0
2014-08-18,57.23,215258.112,8881423.0
2014-08-19,57.56,216499.3347,9040484.0
2014-08-20,57.64,216800.2372,8121363.0
2014-08-21,58.5,220034.9388,12745499.0
2014-08-22,58.49,219997.326,10228569.0
2014-08-25,59.34,223194.4149,13996764.0
2014-08-26,59.74,224698.9273,10281087.0
2014-08-27,59.59,224134.7351,11410860.0
2014-08-28,59.16,222517.3843,9096101.0
2014-08-29,59.45,223608.1558,8903530.0
2014-09-02,59.67,224435.6376,8678222.0
2014-09-03,59.7,224548.476,11792109.0
2014-09-04,59.71,224586.0889,9811903.0
2014-09-05,59.91,225338.3451,9600894.0
2014-09-08,59.89,225263.1194,8090047.0
2014-09-09,59.06,222141.2562,14868683.0
2014-09-10,59.22,222743.0612,9157691.0
2014-09-11,59.76,224774.1529,11468573.0
2014-09-12,60.03,225789.6988,14373722.0
2014-09-15,59.94,225451.1835,10685630.0
2014-09-16,59.99,225639.2475,10950516.0
2014-09-17,60.31,226842.8575,15092042.0
2014-09-18,61.32,230641.7513,16973697.0
2014-09-19,61.11,229851.8823,18740479.0
2014-09-22,60.91,229099.6261,13225164.0
2014-09-23,60.94,229212.4645,14335620.0
2014-09-24,61.63,231807.7484,13728243.0
2014-09-25,60.15,226241.0525,16346724.0
2014-09-26,60.56,227783.1777,11948887.0
2014-09-29,60.33,226918.0831,10694938.0
2014-09-30,60.24,226579.5678,14384783.0
2014-10-01,59.77,224811.7657,18995987.0
2014-10-02,58.84,221313.7744,24561606.0
2014-10-03,60.3,226805.2447,18321078.0
2014-10-06,60.18,226353.8909,11578147.0
2014-10-07,59.27,222931.1252,14542010.0
2014-10-08,60.4,227181.3728,15834553.0
2014-10-09,59.08,222216.4818,19191404.0
2014-10-10,58.52,220110.1645,16690858.0
2014-10-13,58.16,218756.1033,17169312.0
2014-10-14,57.99,218116.6855,29096840.0
2014-10-15,55.53,208863.9343,37866911.0
2014-10-16,55.08,207171.3578,31970014.0
2014-10-17,56.2,211383.9925,20183543.0
2014-10-20,56.63,213001.3434,10808475.0
2014-10-21,57.93,217891.0087,14020373.0
2014-10-22,57.45,216085.5938,13750741.0
2014-10-23,58.06,218379.9752,12641874.0
2014-10-24,58.74,220937.6463,13757981.0
2014-10-27,58.64,220561.5182,11087209.0
2014-10-28,59.63,224285.1864,13625017.0
2014-10-29,59.29,223006.3508,16715852.0
2014-10-30,59.39,223382.4789,14709756.0
2014-10-31,60.48,227482.2752,18351059.0
2014-11-03,60.88,227580.9293,11854189.0
2014-11-04,60.25,225225.8704,15295771.0
2014-11-05,61.15,228590.2403,14063812.0
2014-11-06,61.23,228889.2954,10421612.0
2014-11-07,61.47,229786.4607,12384620.0
2014-11-10,61.93,231506.0275,10800981.0
2014-11-11,61.37,229412.6418,12539830.0
2014-11-12,60.56,226384.7089,17219648.0
2014-11-13,60.23,225151.1066,12240366.0
2014-11-14,60.28,225338.0161,6803396.0
2014-11-17,60.38,225711.835,9017649.0
2014-11-18,60.53,226272.5633,8899839.0
2014-11-19,60.6,226534.2365,9210079.0
2014-11-20,60.12,224739.9059,10917299.0
2014-11-21,60.45,225973.5082,12340450.0
2014-11-24,60.96,227879.9844,8335037.0
2014-11-25,60.3,225412.7799,14802617.0
2014-11-26,60.34,225562.3074,7628731.0
2014-11-28,60.16,224889.4334,6759646.0
2014-12-01,60.0,224291.3232,12771602.0
2014-12-02,61.08,228328.5671,12546594.0
2014-12-03,61.54,230048.1339,12115506.0
2014-12-04,61.38,229450.0237,11542085.0
2014-12-05,62.7,234384.4328,20071134.0
2014-12-08,62.67,234272.2871,15535482.0
2014-12-09,62.45,233449.8856,19676435.0
2014-12-10,60.68,226833.2916,29620579.0
2014-12-11,61.14,228552.8584,16886249.0
2014-12-12,60.04,224440.8508,17405430.0
2014-12-15,59.16,221151.2447,19209927.0
2014-12-16,58.43,218422.367,20709745.0
2014-12-17,59.77,223431.5398,17856440.0
2014-12-18,61.48,229823.8425,18173357.0
2014-12-19,61.93,231506.0275,22756410.0
2014-12-22,61.94,231543.4094,17073371.0
2014-12-23,62.48,233562.0313,13552615.0
2014-12-24,62.48,233562.0313,7419342.0
2014-12-26,62.55,233823.7045,6086519.0
2014-12-29,62.96,235356.3619,10601197.0
2014-12-30,63.15,236066.6177,7518059.0
2014-12-31,62.58,233935.8501,18529419.0
2015-01-02,62.49,233599.4132,12599991.0
2015-01-05,60.55,226347.327,20100577.0
2015-01-06,58.98,220478.3707,29074111.0
2015-01-07,59.07,220814.8077,23843244.0
2015-01-08,60.39,225749.2168,16971056.0
2015-01-09,59.34,221824.1187,15396195.0
2015-01-12,58.83,219917.6424,15455234.0
2015-01-13,58.84,219955.0243,21644739.0
2015-01-14,56.81,211037.7908,49602310.0
2015-01-15,54.99,204276.8547,42458146.0
2015-01-16,55.93,207768.7667,29368910.0
2015-01-20,55.71,206951.5107,23477689.0
2015-01-21,55.89,207620.1747,21842362.0
2015-01-22,57.59,213935.3348,31423538.0
2015-01-23,56.68,210554.8668,15458254.0
2015-01-26,56.77,210889.1988,12577658.0
2015-01-27,56.2,208771.7627,15220526.0
2015-01-28,54.75,203385.3027,24354354.0
2015-01-29,55.67,206802.9187,20393264.0
2015-01-30,54.38,202010.8267,26943713.0
2015-02-02,55.47,206059.9587,20308885.0
2015-02-03,56.72,210703.4588,18812501.0
2015-02-04,56.38,209440.4268,14934076.0
2015-02-05,56.77,210889.1988,11293901.0
2015-02-06,57.89,215049.7748,25214001.0
2015-02-09,57.82,214789.7388,14372365.0
2015-02-10,58.46,217167.2109,16367266.0
2015-02-11,58.37,216832.8789,13061925.0
2015-02-12,59.57,221290.6389,23211327.0
2015-02-13,59.67,221662.1189,16479114.0
2015-02-17,60.1,223259.4829,15308763.0
2015-02-18,59.37,220547.6789,14278117.0
2015-02-19,59.23,220027.6069,11256543.0
2015-02-20,59.8,222145.0429,15379042.0
2015-02-23,59.35,220473.3829,16813999.0
2015-02-24,60.82,226755.9663,22937701.0
2015-02-25,61.14,227949.0263,18307912.0
2015-02-26,61.58,229589.4838,15444802.0
2015-02-27,61.28,228470.99,15225935.0
2015-03-02,61.77,230297.8631,13047328.0
2015-03-03,61.97,231043.5256,13707655.0
2015-03-04,62.13,231640.0556,16626413.0
2015-03-05,62.0,231155.375,10931262.0
2015-03-06,60.89,227016.9481,22719177.0
2015-03-09,61.5,229291.2188,13001473.0
2015-03-10,59.96,223549.6175,16357724.0
2015-03-11,60.24,224593.545,13015567.0
2015-03-12,61.37,228806.5381,18159558.0
2015-03-13,61.0,227427.0625,16506155.0
2015-03-16,61.85,230596.1281,15182859.0
