,SMCI US Equity,SMCI US Equity,SMCI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-05-14,17.75,797.526,732640.0
2014-05-15,17.94,806.0629,305487.0
2014-05-16,19.76,887.8374,989504.0
2014-05-19,20.725,931.1958,737766.0
2014-05-20,20.48,920.1877,517648.0
2014-05-21,20.74,931.8698,360142.0
2014-05-22,20.61,926.0288,220230.0
2014-05-23,21.18,951.6395,420436.0
2014-05-27,21.39,961.075,454983.0
2014-05-28,21.66,973.2064,410319.0
2014-05-29,21.76,977.6995,333050.0
2014-05-30,21.5,966.0174,693029.0
2014-06-02,21.17,951.1902,309015.0
2014-06-03,21.16,950.7408,320954.0
2014-06-04,21.49,965.5681,476769.0
2014-06-05,21.92,984.8884,277476.0
2014-06-06,21.83,980.8446,286394.0
2014-06-09,22.7,1019.9346,417376.0
2014-06-10,22.76,1022.6305,271272.0
2014-06-11,22.65,1017.6881,208932.0
2014-06-12,22.35,1004.2088,157198.0
2014-06-13,23.09,1037.4578,283595.0
2014-06-16,25.57,1148.8867,1190149.0
2014-06-17,24.895,1118.5583,651208.0
2014-06-18,26.02,1169.1057,607353.0
2014-06-19,25.9,1163.714,722866.0
2014-06-20,26.03,1169.555,595555.0
2014-06-23,25.68,1153.8292,373077.0
2014-06-24,25.34,1138.5526,243530.0
2014-06-25,25.27,1135.4074,491864.0
2014-06-26,25.45,1143.495,342669.0
2014-06-27,24.69,1109.3474,1532917.0
2014-06-30,25.27,1135.4074,648222.0
2014-07-01,25.44,1143.0457,500711.0
2014-07-02,25.55,1147.9881,428821.0
2014-07-03,25.95,1165.9605,246299.0
2014-07-07,25.45,1143.495,334565.0
2014-07-08,24.25,1089.5778,689479.0
2014-07-09,24.9,1118.7829,407860.0
2014-07-10,24.57,1103.9557,446854.0
2014-07-11,25.08,1126.8705,326618.0
2014-07-14,24.92,1119.6816,327484.0
2014-07-15,24.43,1097.6653,285077.0
2014-07-16,24.44,1098.1147,207068.0
2014-07-17,24.17,1085.9833,252146.0
2014-07-18,25.43,1142.5964,300099.0
2014-07-21,26.2,1177.1933,483345.0
2014-07-22,26.55,1192.9192,633409.0
2014-07-23,25.76,1157.4236,335829.0
2014-07-24,25.68,1153.8292,279673.0
2014-07-25,25.15,1130.0157,255773.0
2014-07-28,25.04,1125.0733,191568.0
2014-07-29,26.35,1183.9329,405297.0
2014-07-30,26.6,1195.1657,283143.0
2014-07-31,26.17,1175.8454,591691.0
2014-08-01,25.59,1149.7854,357369.0
2014-08-04,26.75,1201.9054,546620.0
2014-08-05,26.89,1208.1957,541781.0
2014-08-06,24.81,1114.7391,1554424.0
2014-08-07,24.92,1119.6816,260562.0
2014-08-08,24.33,1093.1722,406546.0
2014-08-11,24.79,1113.8405,318732.0
2014-08-12,24.63,1106.6516,204626.0
2014-08-13,25.14,1129.5664,314901.0
2014-08-14,25.41,1141.6978,353228.0
2014-08-15,25.32,1137.654,394283.0
2014-08-18,25.81,1159.6702,390192.0
2014-08-19,25.97,1166.8592,263495.0
2014-08-20,25.27,1135.4074,405409.0
2014-08-21,24.98,1122.3774,219635.0
2014-08-22,24.55,1103.0571,417346.0
2014-08-25,24.57,1103.9557,263107.0
2014-08-26,24.7,1109.7967,389175.0
2014-08-27,25.07,1126.4212,256918.0
2014-08-28,24.73,1111.1447,206237.0
2014-08-29,24.49,1100.3612,324568.0
2014-09-02,27.0,1213.1381,861149.0
2014-09-03,25.69,1154.2785,590683.0
2014-09-04,25.56,1148.4374,317537.0
2014-09-05,25.49,1145.2923,194141.0
2014-09-08,26.57,1193.8178,324047.0
2014-09-09,25.61,1150.684,289936.0
2014-09-10,25.33,1138.1033,278539.0
2014-09-11,26.03,1169.555,204558.0
2014-09-12,26.1,1172.7002,346169.0
2014-09-15,26.26,1199.4304,287202.0
2014-09-16,26.82,1225.0085,355390.0
2014-09-17,28.36,1295.3483,770713.0
2014-09-18,29.03,1325.9507,633477.0
2014-09-19,28.42,1298.0888,532339.0
2014-09-22,28.27,1291.2375,270603.0
2014-09-23,27.8,1269.7702,345432.0
2014-09-24,28.9,1320.0129,471480.0
2014-09-25,27.75,1267.4864,385690.0
2014-09-26,28.41,1297.632,324954.0
2014-09-29,29.4,1342.8505,492145.0
2014-09-30,29.42,1343.764,651829.0
2014-10-01,28.58,1305.3968,829655.0
2014-10-02,27.37,1250.1298,792678.0
2014-10-03,27.17,1240.9948,369665.0
2014-10-06,25.16,1149.1877,1151777.0
2014-10-07,24.6,1123.6096,623811.0
2014-10-08,24.19,1104.8828,981670.0
2014-10-09,23.46,1071.5399,531128.0
2014-10-10,22.85,1043.678,644989.0
2014-10-13,23.1,1055.0968,573873.0
2014-10-14,23.23,1061.0346,411946.0
2014-10-15,23.9,1091.6369,517906.0
2014-10-16,23.95,1093.9207,442705.0
2014-10-17,24.99,1141.4229,493370.0
2014-10-20,25.44,1161.9767,462113.0
2014-10-21,26.48,1209.4789,643736.0
2014-10-22,28.81,1315.9021,2198632.0
2014-10-23,30.75,1404.512,887423.0
2014-10-24,30.55,1395.3769,913954.0
2014-10-27,30.7,1402.2282,611653.0
2014-10-28,31.53,1440.1386,774565.0
2014-10-29,31.6,1443.3359,453736.0
2014-10-30,31.78,1451.5574,393757.0
2014-10-31,31.96,1459.7789,504778.0
2014-11-03,32.68,1492.6651,495810.0
2014-11-04,32.77,1496.7759,432227.0
2014-11-05,32.25,1473.0248,528212.0
2014-11-06,32.9,1512.6305,539556.0
2014-11-07,33.93,1559.9864,484517.0
2014-11-10,33.7,1549.4118,406928.0
2014-11-11,33.74,1551.2509,405074.0
2014-11-12,33.67,1548.0325,229321.0
2014-11-13,33.71,1549.8716,265566.0
2014-11-14,34.67,1594.0091,424391.0
2014-11-17,34.18,1571.4806,408695.0
2014-11-18,34.19,1571.9404,559971.0
2014-11-19,33.45,1537.9177,416794.0
2014-11-20,33.35,1533.32,473415.0
2014-11-21,33.75,1551.7107,316590.0
2014-11-24,34.02,1564.1243,332378.0
2014-11-25,33.55,1542.5153,177618.0
2014-11-26,33.81,1554.4693,227366.0
2014-11-28,33.28,1530.1017,145730.0
2014-12-01,32.2,1480.4469,293057.0
2014-12-02,32.76,1506.1938,283464.0
2014-12-03,33.67,1548.0325,344029.0
2014-12-04,33.03,1518.6075,278668.0
2014-12-05,33.26,1529.1821,244346.0
2014-12-08,31.61,1453.3207,391148.0
2014-12-09,32.01,1471.7114,480355.0
2014-12-10,31.32,1439.9875,302185.0
2014-12-11,31.31,1439.5277,303901.0
2014-12-12,31.38,1442.7461,317989.0
2014-12-15,31.44,1445.5047,273588.0
2014-12-16,31.29,1438.6082,251553.0
2014-12-17,32.64,1500.6766,357284.0
2014-12-18,34.465,1584.5839,559678.0
2014-12-19,34.93,1605.9631,1250238.0
2014-12-22,36.53,1679.5256,419035.0
2014-12-23,35.91,1651.0201,400472.0
2014-12-24,36.39,1673.0889,140541.0
2014-12-26,36.39,1673.0889,143390.0
2014-12-29,35.39,1627.1123,240560.0
2014-12-30,34.93,1605.9631,197203.0
2014-12-31,34.88,1603.6642,220565.0
2015-01-02,34.73,1596.7677,207315.0
2015-01-05,33.67,1548.0325,390016.0
2015-01-06,32.76,1506.1938,338646.0
2015-01-07,33.0,1517.2282,355263.0
2015-01-08,34.73,1596.7677,360929.0
2015-01-09,34.53,1587.5724,207412.0
2015-01-12,34.16,1570.5611,233915.0
2015-01-13,34.21,1572.8599,336712.0
2015-01-14,33.7,1549.4118,261053.0
2015-01-15,33.15,1524.1247,591269.0
2015-01-16,35.07,1612.3998,524435.0
2015-01-20,37.74,1753.225,1319373.0
2015-01-21,34.11,1584.5921,2757273.0
2015-01-22,36.88,1713.2734,698747.0
2015-01-23,36.35,1688.6521,667189.0
2015-01-26,36.71,1705.376,598233.0
2015-01-27,37.33,1734.1783,685369.0
2015-01-28,37.39,1736.9656,656303.0
2015-01-29,37.87,1759.2642,382315.0
2015-01-30,36.57,1698.8723,498724.0
2015-02-02,36.47,1694.2267,450389.0
2015-02-03,35.88,1666.8181,486960.0
2015-02-04,35.69,1657.9915,384522.0
2015-02-05,36.64,1702.1241,577182.0
2015-02-06,37.13,1724.8872,447967.0
2015-02-09,37.19,1730.85,313035.0
2015-02-10,39.2,1824.3969,841980.0
2015-02-11,39.19,1823.9315,906383.0
2015-02-12,40.04,1863.4911,552221.0
2015-02-13,39.74,1849.5289,475197.0
2015-02-17,39.94,1858.837,381356.0
2015-02-18,39.11,1820.2082,379834.0
2015-02-19,39.17,1823.0007,200182.0
2015-02-20,39.24,1826.2585,219286.0
2015-02-23,38.67,1799.7303,475272.0
2015-02-24,40.73,1895.6042,932869.0
