,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity,CEG US Equity
,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,CUR_MKT_CAP
2022-05-05,60.16,61.22,61.99,59.17,1946942.0,19652.1024
2022-05-06,60.27,60.26,61.23,58.7,2861013.0,19688.0355
2022-05-09,57.62,60.57,60.57,56.57,2193713.0,18822.376
2022-05-10,57.04,58.25,59.87,56.735,2156191.0,18632.911
2022-05-11,57.37,57.11,59.03,56.53,1877078.0,18740.7101
2022-05-12,53.47,57.31,57.85,53.08,3785644.0,17466.7207
2022-05-13,54.61,54.53,55.9005,53.63,2317613.0,17839.1176
2022-05-16,56.59,54.42,57.13,54.34,1631977.0,18485.9122
2022-05-17,59.32,56.85,59.48,55.98,2215081.0,19377.7047
2022-05-18,57.28,59.42,60.255,56.93,4609064.0,18711.3103
2022-05-19,57.23,57.13,57.51,54.92,2181111.0,18694.9771
2022-05-20,56.65,57.51,58.94,55.49,2266207.0,18505.512
2022-05-23,56.6,57.5,57.59,55.86,1581852.0,18489.1788
2022-05-24,56.78,56.55,57.36,55.07,1682344.0,18547.9783
2022-05-25,59.17,56.88,59.34,56.88,1974650.0,19328.7052
2022-05-26,62.47,59.18,63.0427,59.17,3260200.0,20406.6961
2022-05-27,66.6,62.4,66.64,62.0,2793825.0,21755.8182
2022-05-31,62.08,65.54,66.39,61.37,7389274.0,20279.2972
2022-06-01,63.65,62.38,63.92,62.15,2008631.0,20792.1596
2022-06-02,63.75,63.69,64.12,61.98,1758533.0,20824.826
2022-06-03,65.17,63.26,65.82,63.12,1793454.0,21288.6888
