,VLO US Equity,VLO US Equity,VLO US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-09-11,49.87,26329.5307,10824961.0
2014-09-12,48.42,25563.9839,11484046.0
2014-09-15,48.98,25859.6433,7794060.0
2014-09-16,48.7,25711.8136,7520226.0
2014-09-17,48.21,25453.1116,10346381.0
2014-09-18,47.62,25141.6132,10824800.0
2014-09-19,48.37,25537.5857,11421721.0
2014-09-22,47.26,24951.5464,8564667.0
2014-09-23,47.14,24888.1908,7465950.0
2014-09-24,46.85,24735.0814,14920171.0
2014-09-25,46.33,24460.5405,8881102.0
2014-09-26,47.02,24824.8352,8263856.0
2014-09-29,46.77,24692.8444,7305563.0
2014-09-30,46.27,24428.8627,9366540.0
2014-10-01,45.6,24075.1273,8619727.0
2014-10-02,45.17,23848.1031,9606032.0
2014-10-03,44.74,23621.0788,9542310.0
2014-10-06,44.72,23610.5196,5830956.0
2014-10-07,45.13,23826.9845,7990119.0
2014-10-08,46.84,24729.8018,9447572.0
2014-10-09,45.43,23985.3735,8679388.0
2014-10-10,45.15,23837.5438,7566818.0
2014-10-13,44.55,23520.7658,8441248.0
2014-10-14,44.92,23716.1122,11378320.0
2014-10-15,43.76,23103.6748,10989029.0
2014-10-16,44.75,23626.3585,12250026.0
2014-10-17,45.15,23837.5438,8897460.0
2014-10-20,46.31,24449.9813,6282105.0
2014-10-21,48.3,25500.6283,8942279.0
2014-10-22,48.0,25342.2393,10248824.0
2014-10-23,48.01,25347.5189,5625901.0
2014-10-24,48.62,25669.5765,5047888.0
