,NI US Equity,NI US Equity,NI US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2016-02-16,21.11,6727.151,2595644.0
2016-02-17,21.35,6803.6322,4240518.0
2016-02-18,21.87,6992.7523,4141103.0
2016-02-19,21.87,6992.7523,3275952.0
2016-02-22,21.91,7005.542,2411707.0
2016-02-23,21.8,6970.3704,3131776.0
2016-02-24,21.75,6954.3833,2485387.0
2016-02-25,22.03,7043.911,1971561.0
2016-02-26,21.51,6877.6453,2716525.0
2016-02-29,21.48,6868.053,2250641.0
2016-03-01,21.5,6874.4478,2537063.0
2016-03-02,22.07,7056.7006,2960783.0
2016-03-03,22.34,7143.0309,2536865.0
2016-03-04,22.4,7162.2154,1996967.0
2016-03-07,22.36,7149.4258,3312632.0
2016-03-08,22.48,7187.7948,1999069.0
2016-03-09,22.62,7232.5586,1169129.0
2016-03-10,22.77,7280.5199,2101230.0
2016-03-11,22.74,7270.9276,1848784.0
2016-03-14,22.78,7283.7173,1542158.0
2016-03-15,22.67,7248.5457,2853771.0
2016-03-16,23.1,7386.0347,1985626.0
2016-03-17,23.33,7459.5753,2056440.0
2016-03-18,22.8,7290.1121,4019519.0
2016-03-21,22.89,7318.8889,2197755.0
2016-03-22,22.8,7290.1121,1285810.0
2016-03-23,23.02,7360.4553,1600076.0
2016-03-24,23.03,7363.6527,2304188.0
2016-03-28,22.92,7328.4811,1850866.0
2016-03-29,23.17,7408.4166,2304990.0
2016-03-30,23.39,7478.7598,2170227.0
2016-03-31,23.56,7533.1159,2854733.0
2016-04-01,23.82,7616.2487,2962921.0
2016-04-04,23.6,7545.9055,2348961.0
2016-04-05,23.24,7430.7985,3483453.0
2016-04-06,23.44,7494.7469,3216059.0
2016-04-07,23.42,7511.3096,2289094.0
2016-04-08,23.55,7553.0035,1469699.0
2016-04-11,23.47,7527.3457,2027436.0
2016-04-12,23.63,7578.6612,1721893.0
2016-04-13,23.4,7504.8952,2495564.0
2016-04-14,23.43,7514.5168,1670485.0
2016-04-15,23.68,7594.6973,1648704.0
2016-04-18,23.82,7639.5984,1581695.0
2016-04-19,23.98,7690.9139,1992049.0
2016-04-20,23.07,7399.0569,3960764.0
2016-04-21,22.13,7097.5782,6310153.0
2016-04-22,22.25,7136.0648,3462545.0
2016-04-25,22.33,7161.7226,3293048.0
2016-04-26,22.29,7148.8937,2392960.0
2016-04-27,22.49,7213.0381,2266100.0
