,UAL US Equity,UAL US Equity,UAL US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-05-28,44.89,16766.6123,4373427.0
2014-05-29,44.6,16658.296,5394058.0
2014-05-30,44.37,16572.39,7028755.0
2014-06-02,46.7,17442.6552,7957551.0
2014-06-03,47.51,17745.1938,7507026.0
2014-06-04,46.87,17506.151,10945126.0
2014-06-05,47.0,17554.7065,4454792.0
2014-06-06,48.05,17946.8862,4178238.0
2014-06-09,46.38,17323.1338,7622061.0
2014-06-10,47.76,17838.5699,6689105.0
2014-06-11,45.26,16904.8089,9455358.0
2014-06-12,42.6,15911.2872,17075735.0
2014-06-13,42.78,15978.518,10900578.0
2014-06-16,42.53,15885.1419,6974614.0
2014-06-17,43.92,16404.313,6883285.0
2014-06-18,43.76,16344.5523,5034942.0
2014-06-19,43.63,16295.9967,3676698.0
2014-06-20,43.66,16307.2019,4865027.0
2014-06-23,43.15,16116.7146,5023972.0
2014-06-24,41.79,15608.7486,6871738.0
2014-06-25,41.81,15616.2187,5059975.0
2014-06-26,41.51,15504.1674,6674088.0
2014-06-27,41.49,15496.6973,4881555.0
2014-06-30,41.07,15339.8255,4457035.0
2014-07-01,42.26,15784.2957,6202039.0
2014-07-02,39.27,14667.5176,12844848.0
2014-07-03,39.88,14895.3553,4290675.0
2014-07-07,38.62,14424.7397,8454781.0
2014-07-08,39.54,14768.3638,15925199.0
2014-07-09,40.07,14966.3211,7504473.0
2014-07-10,45.17,16871.1935,20819891.0
2014-07-11,45.7,17069.1508,7651149.0
2014-07-14,44.92,16777.8174,5269494.0
2014-07-15,45.22,16889.8687,5158432.0
2014-07-16,44.9,16770.3473,3880387.0
2014-07-17,43.35,16191.4155,8266405.0
2014-07-18,44.25,16527.5695,5226088.0
2014-07-21,43.79,16355.7574,2591159.0
2014-07-22,44.82,16740.467,3546088.0
2014-07-23,46.0,17181.2021,7820989.0
2014-07-24,44.92,16780.969,14792876.0
2014-07-25,46.78,17475.8177,11748535.0
2014-07-28,46.55,17389.8955,5312953.0
2014-07-29,45.84,17124.6576,4901131.0
2014-07-30,46.97,17546.7968,7006188.0
2014-07-31,46.39,17330.1236,5015723.0
2014-08-01,46.73,17457.1389,3360923.0
2014-08-04,45.5,16997.6422,5029696.0
2014-08-05,43.94,16414.8659,8486254.0
2014-08-06,43.89,16396.1872,5368763.0
2014-08-07,43.26,16160.8352,5836657.0
2014-08-08,42.95,16045.0271,6789116.0
2014-08-11,43.12,16108.5348,4973648.0
2014-08-12,42.8,15988.9909,4529875.0
2014-08-13,44.11,16478.3736,4069837.0
2014-08-14,45.92,17154.5435,5621024.0
2014-08-15,46.01,17188.1652,5649609.0
2014-08-18,47.84,17871.8067,5664978.0
2014-08-19,47.68,17812.0348,5412942.0
2014-08-20,49.25,18398.5468,4813909.0
2014-08-21,48.01,17935.3144,5271508.0
2014-08-22,48.46,18103.4229,3380737.0
2014-08-25,48.51,18122.1016,3591054.0
2014-08-26,48.22,18013.765,2270156.0
2014-08-27,48.22,18013.765,2438136.0
2014-08-28,48.32,18051.1225,2208566.0
2014-08-29,47.61,17785.8845,4095976.0
2014-09-02,49.99,18674.992,6239764.0
2014-09-03,49.03,18316.3604,5439576.0
2014-09-04,50.42,18835.629,5688330.0
2014-09-05,50.73,18951.4371,6309829.0
2014-09-08,51.13,19100.867,5489486.0
2014-09-09,50.84,18992.5303,6349269.0
2014-09-10,51.74,19328.7474,4671364.0
2014-09-11,51.03,19063.5095,5889213.0
2014-09-12,50.41,18831.8933,5294849.0
2014-09-15,49.56,18514.3549,4064841.0
2014-09-16,49.54,18506.8834,4920914.0
2014-09-17,48.93,18279.0029,5042884.0
2014-09-18,49.9,18641.3703,3552357.0
2014-09-19,49.38,18447.1115,5738493.0
2014-09-22,47.79,17853.128,4804810.0
2014-09-23,48.25,18024.9723,4098832.0
2014-09-24,48.2,18006.2935,3987468.0
2014-09-25,47.01,17561.7398,5666336.0
2014-09-26,47.33,17681.2837,2837659.0
2014-09-29,46.75,17464.6104,3585617.0
2014-09-30,46.79,17479.5534,5221896.0
2014-10-01,45.47,16986.435,10630665.0
2014-10-02,46.13,17232.9942,5260717.0
2014-10-03,48.28,18036.1795,6526631.0
2014-10-06,46.94,17535.5896,5318383.0
2014-10-07,45.49,16993.9065,5872138.0
2014-10-08,43.83,16373.7727,10651588.0
2014-10-09,45.04,16825.7979,15993364.0
2014-10-10,43.74,16340.151,7869628.0
2014-10-13,40.55,15148.4482,14875173.0
2014-10-14,43.17,16127.2135,10138694.0
2014-10-15,42.55,15895.5973,15808264.0
2014-10-16,43.77,16351.3582,10699247.0
2014-10-17,44.68,16691.3111,4644522.0
2014-10-20,47.29,17666.3407,8639606.0
2014-10-21,49.51,18495.6762,9313975.0
2014-10-22,49.06,18327.5676,7624887.0
2014-10-23,49.42,18239.4775,15771061.0
2014-10-24,49.62,18313.2916,7256330.0
2014-10-27,51.73,19092.0309,10248958.0
2014-10-28,52.36,19324.5455,8493929.0
2014-10-29,52.26,19287.6385,5327961.0
2014-10-30,51.74,19095.7217,3917400.0
2014-10-31,52.81,19490.6274,6390321.0
2014-11-03,54.28,20033.1614,4793581.0
2014-11-04,55.21,20376.3972,7707511.0
2014-11-05,54.11,19970.4194,3868097.0
2014-11-06,55.66,20542.4791,6666659.0
2014-11-07,54.18,19996.2543,5311441.0
2014-11-10,54.83,20236.1503,3902098.0
2014-11-11,54.66,20173.4083,3633818.0
2014-11-12,54.6,20151.2641,3120318.0
2014-11-13,56.76,20948.4569,6223180.0
2014-11-14,56.1,20704.8702,5260493.0
2014-11-17,55.99,20664.2724,4929362.0
2014-11-18,58.29,21513.1352,6592842.0
2014-11-19,57.54,21236.3321,3836634.0
2014-11-20,56.39,20811.9007,4670786.0
2014-11-21,55.33,20420.6857,5273718.0
2014-11-24,55.91,20634.7468,3794401.0
2014-11-25,56.25,20760.2308,6844222.0
2014-11-26,56.6,20889.4056,3549752.0
2014-11-28,61.23,22598.2033,8699384.0
2014-12-01,59.57,21985.5458,5294159.0
2014-12-02,59.38,21915.4223,5597146.0
2014-12-03,59.29,21882.206,4098407.0
2014-12-04,61.75,22790.1201,8911737.0
2014-12-05,63.03,23262.5306,8157015.0
2014-12-08,64.25,23712.797,5475621.0
2014-12-09,62.52,23074.3046,9159933.0
2014-12-10,63.69,23506.1174,8788389.0
2014-12-11,65.8,24284.8567,6767616.0
2014-12-12,64.1,23657.4364,8170593.0
2014-12-15,64.04,23635.2921,6777149.0
2014-12-16,61.63,22745.8316,6412095.0
2014-12-17,62.85,23196.0979,8608503.0
2014-12-18,64.25,23712.797,5512860.0
2014-12-19,64.14,23672.1992,5102079.0
2014-12-22,64.0,23620.5293,4114414.0
2014-12-23,62.48,23059.5417,4957863.0
2014-12-24,64.93,23963.7651,2714807.0
2014-12-26,65.28,24092.9399,3062153.0
2014-12-29,65.22,24070.7956,2874473.0
2014-12-30,66.05,24377.1244,2644611.0
2014-12-31,66.89,24687.1438,4451235.0
2015-01-02,66.34,24484.1549,6215071.0
2015-01-05,66.15,24414.0315,5033887.0
2015-01-06,64.58,23834.5903,6052191.0
2015-01-07,65.53,24185.2076,5135039.0
2015-01-08,66.64,24594.8761,6889597.0
2015-01-09,65.34,24115.0841,3490313.0
2015-01-12,65.92,24329.1452,5246508.0
2015-01-13,66.41,24509.9899,6266291.0
2015-01-14,64.05,23638.9828,6747887.0
2015-01-15,63.83,23557.7873,6255711.0
2015-01-16,65.75,24266.4031,8142163.0
2015-01-20,68.03,25107.8845,9473708.0
2015-01-21,69.21,25543.388,7082180.0
2015-01-22,72.34,26698.5795,9681207.0
2015-01-23,73.1,26979.0733,3811225.0
2015-01-26,73.62,27170.9901,5595253.0
