,WY US Equity,WY US Equity,WY US Equity
,PX_LAST,CUR_MKT_CAP,PX_VOLUME
2014-06-24,32.17,18819.6837,15597524.0
2014-06-25,32.32,18907.4347,18857621.0
2014-06-26,32.7,19129.7375,17516588.0
2014-06-27,32.58,19059.5366,27737931.0
2014-06-30,33.09,19357.8903,21266107.0
2014-07-01,32.45,18983.4857,22729005.0
2014-07-02,32.9,19246.739,13178121.0
2014-07-03,33.22,19433.9413,57594697.0
2014-07-07,33.18,19410.541,11445590.0
2014-07-08,33.35,19509.9922,11892142.0
2014-07-09,33.1,19363.7404,8624714.0
2014-07-10,32.57,19053.6866,11816280.0
2014-07-11,32.38,18942.5352,9855992.0
2014-07-14,32.24,18860.6342,9145196.0
2014-07-15,32.29,18889.8845,9120585.0
2014-07-16,32.42,18965.9355,6652204.0
2014-07-17,32.25,18866.4842,7772719.0
2014-07-18,32.58,19059.5366,6425663.0
2014-07-21,32.26,18872.3343,3997464.0
2014-07-22,32.27,18878.1844,3673363.0
2014-07-23,32.12,18790.4333,3078266.0
2014-07-24,32.05,18749.4828,3152398.0
2014-07-25,31.92,18673.4318,2034080.0
2014-07-28,32.27,18878.1844,4861281.0
2014-07-29,31.96,18696.8321,3622042.0
2014-07-30,31.82,18614.9311,3783978.0
2014-07-31,31.32,18322.4275,5407874.0
2014-08-01,31.23,18269.7768,5706929.0
2014-08-04,31.61,16699.715,2917881.0
2014-08-05,31.42,16599.3371,2677728.0
2014-08-06,31.61,16699.715,2161342.0
2014-08-07,31.55,16668.0167,1653101.0
2014-08-08,32.0,16905.7539,2506223.0
2014-08-11,32.1,16958.5844,2838631.0
2014-08-12,32.33,17080.0945,2225346.0
2014-08-13,32.34,17085.3775,1438553.0
2014-08-14,33.06,17465.757,3871449.0
2014-08-15,32.96,17412.9265,2292588.0
2014-08-18,33.42,17655.9467,2766712.0
2014-08-19,33.97,17946.5144,3826927.0
2014-08-20,34.1,18015.194,3470558.0
2014-08-21,34.38,18163.1194,4236482.0
2014-08-22,34.28,18110.2889,2027542.0
2014-08-25,34.46,18205.3837,1862234.0
2014-08-26,34.28,18110.2889,2687771.0
2014-08-27,34.14,18036.3262,1910242.0
