Date,PX_LAST,CUR_MKT_CAP,PX_VOLUME,Ticker
2014-01-02,82.51,45046.2851,2944140.0,EOG
2014-01-03,82.28,44920.7168,2693750.0,EOG
2014-01-06,82.01,44773.3104,3649192.0,EOG
2014-01-07,83.425,45545.8288,3287000.0,EOG
2014-01-08,83.39,45526.7206,2857880.0,EOG
2014-01-09,83.5,45586.7751,3539336.0,EOG
2014-01-10,83.405,45534.9099,2949798.0,EOG
2014-01-13,81.73,44620.4446,2672664.0,EOG
2014-01-14,84.3,46023.5346,3221976.0,EOG
2014-01-15,85.18,46503.9701,4088860.0,EOG
2014-01-16,85.05,46432.9966,3342482.0,EOG
2014-01-17,84.48,46121.8055,3325724.0,EOG
2014-01-21,84.615,46195.5086,3195084.0,EOG
2014-01-22,85.86,46875.2156,3588544.0,EOG
2014-01-23,84.585,46179.1302,4482806.0,EOG
2014-01-24,82.765,45185.5022,5653078.0,EOG
2014-01-27,81.05,44249.199,3809822.0,EOG
2014-01-28,83.61,45646.8295,3292674.0,EOG
2014-01-29,82.325,44945.2845,3280418.0,EOG
2014-01-30,83.065,45349.2871,2262924.0,EOG
2014-01-31,82.62,45106.3396,2639566.0,EOG
2014-02-03,80.87,44150.9281,4528920.0,EOG
2014-02-04,84.29,46018.0751,6577434.0,EOG
2014-02-05,83.745,45720.5327,4293062.0,EOG
2014-02-06,86.625,47292.8669,5142174.0,EOG
2014-02-07,88.25,48180.0347,4184512.0,EOG
2014-02-10,87.1,47552.1929,3538252.0,EOG
2014-02-11,87.365,47696.8695,3299190.0,EOG
2014-02-12,87.555,47800.5999,2588172.0,EOG
2014-02-13,87.735,47898.8708,3432632.0,EOG
2014-02-14,88.48,48305.6031,2340546.0,EOG
2014-02-18,89.96,49113.6082,3654694.0,EOG
2014-02-19,89.43,48824.255,3834990.0,EOG
2014-02-20,90.015,49143.6354,4511960.0,EOG
2014-02-21,89.0,48589.4968,5411032.0,EOG
2014-02-24,90.2,49270.77,7074362.0,EOG
2014-02-25,92.0,50254.0005,7465912.0,EOG
2014-02-26,93.22,50920.4122,7214394.0,EOG
2014-02-27,93.735,51201.7254,3779670.0,EOG
2014-02-28,94.71,51734.3085,5077904.0,EOG
2014-03-03,94.645,51698.803,5608452.0,EOG
2014-03-04,95.78,52318.7844,4266520.0,EOG
2014-03-05,95.245,52026.5465,3900792.0,EOG
2014-03-06,95.53,52182.2246,3450578.0,EOG
2014-03-07,94.96,51870.8683,3917102.0,EOG
2014-03-10,94.525,51633.2543,2759232.0,EOG
2014-03-11,92.8,50690.9918,4103660.0,EOG
2014-03-12,92.565,50562.6256,4087848.0,EOG
2014-03-13,91.455,49956.3002,3764290.0,EOG
2014-03-14,92.985,50792.046,3178352.0,EOG
2014-03-17,93.615,51136.1767,2722320.0,EOG
2014-03-18,94.58,51663.2975,3165938.0,EOG
2014-03-19,93.765,51218.1126,3165092.0,EOG
2014-03-20,95.165,51982.8474,4022466.0,EOG
2014-03-21,95.82,52340.634,5331708.0,EOG
2014-03-24,94.8,51783.4701,3461646.0,EOG
2014-03-25,95.785,52321.5156,3819058.0,EOG
2014-03-26,96.06,52471.7314,4117322.0,EOG
2014-03-27,96.73,52839.3116,3535222.0,EOG
2014-03-28,98.58,53849.8846,4051242.0,EOG
2014-03-31,98.085,53579.488,4142808.0,EOG
2014-04-01,98.98,54068.3868,3422983.0,EOG
2014-04-02,99.11,54139.4001,2858190.0,EOG
2014-04-03,100.65,54980.6338,5219482.0,EOG
2014-04-04,99.77,54499.9288,4030144.0,EOG
2014-04-07,97.93,53494.8184,3146581.0,EOG
2014-04-08,98.71,53920.8978,3293647.0,EOG
2014-04-09,98.95,54051.9992,3826712.0,EOG
2014-04-10,98.11,53593.1444,4706319.0,EOG
2014-04-11,98.63,53877.1974,4581572.0,EOG
2014-04-14,99.96,54603.7174,3427874.0,EOG
2014-04-15,101.11,55231.9114,4695789.0,EOG
2014-04-16,101.01,55177.2859,3650994.0,EOG
2014-04-17,102.45,55963.894,3253213.0,EOG
2014-04-21,103.53,56553.8502,2404788.0,EOG
2014-04-22,102.34,55903.8059,3332773.0,EOG
2014-04-23,105.08,57400.5465,3445732.0,EOG
2014-04-24,103.48,56526.5374,3715985.0,EOG
2014-04-25,99.04,54101.1622,7169791.0,EOG
2014-04-28,98.06,53565.8316,5112184.0,EOG
2014-04-29,99.62,54417.9905,4089133.0,EOG
2014-04-30,98.0,53533.0563,6297708.0,EOG
2014-05-01,97.12,53052.3513,4240561.0,EOG
2014-05-02,97.06,53019.5759,3712934.0,EOG
2014-05-05,99.25,54215.8759,4766434.0,EOG
2014-05-06,103.63,56634.3959,8515778.0,EOG
2014-05-07,104.79,57268.3426,5705837.0,EOG
2014-05-08,101.73,55596.0349,3265809.0,EOG
2014-05-09,102.28,55896.6131,3709705.0,EOG
2014-05-12,103.64,56639.8609,3351934.0,EOG
2014-05-13,105.17,57476.0148,3426618.0,EOG
2014-05-14,103.9,56781.9524,2415023.0,EOG
2014-05-15,102.74,56148.0057,2608089.0,EOG
2014-05-16,102.5,56016.8443,2846309.0,EOG
2014-05-19,102.3,55907.5432,1832776.0,EOG
2014-05-20,101.89,55683.4758,1937664.0,EOG
2014-05-21,104.16,56924.044,1777722.0,EOG
2014-05-22,103.68,56661.7212,2458417.0,EOG
2014-05-23,103.97,56820.2079,2535088.0,EOG
2014-05-27,104.73,57235.5523,2072530.0,EOG
2014-05-28,105.19,57486.9449,2725834.0,EOG
2014-05-29,106.67,58295.7735,2565461.0,EOG
2014-05-30,105.8,57820.3135,2291034.0,EOG
2014-06-02,105.38,57590.781,1712411.0,EOG
2014-06-03,106.66,58290.3085,1975029.0,EOG
2014-06-04,106.37,58131.8218,1695842.0,EOG
2014-06-05,107.9,58967.9756,2212057.0,EOG
2014-06-06,109.32,59744.0139,2151401.0,EOG
2014-06-09,109.51,59847.85,2366345.0,EOG
2014-06-10,108.69,59399.7152,2174742.0,EOG
2014-06-11,110.7,60498.1919,2684063.0,EOG
2014-06-12,111.63,61006.4423,3800762.0,EOG
2014-06-13,114.02,62312.5911,3130101.0,EOG
2014-06-16,114.03,62318.0562,4075258.0,EOG
2014-06-17,112.39,61421.7867,5247698.0,EOG
2014-06-18,113.54,62050.2683,2912510.0,EOG
2014-06-19,115.8,63285.3714,3866483.0,EOG
2014-06-20,117.98,64476.7541,5556996.0,EOG
2014-06-23,117.41,64165.2458,3329234.0,EOG
2014-06-24,113.02,61766.0853,4577977.0,EOG
2014-06-25,116.02,63405.6027,3456736.0,EOG
2014-06-26,115.42,63077.6992,2355128.0,EOG
2014-06-27,115.84,63307.2317,2801758.0,EOG
2014-06-30,116.86,63864.6676,2344837.0,EOG
2014-07-01,116.55,63695.2508,2793819.0,EOG
2014-07-02,116.23,63520.3689,2649906.0,EOG
2014-07-03,116.75,63804.552,1677892.0,EOG
2014-07-07,115.73,63247.116,1574664.0,EOG
2014-07-08,115.98,63383.7425,2511389.0,EOG
2014-07-09,116.56,63700.7159,1938840.0,EOG
2014-07-10,114.96,62826.3066,2212687.0,EOG
2014-07-11,113.65,62110.384,2482078.0,EOG
2014-07-14,115.69,63225.2558,2956255.0,EOG
2014-07-15,113.44,61995.6178,3367679.0,EOG
2014-07-16,117.1,63995.829,3182834.0,EOG
