Date,PX_LAST,CUR_MKT_CAP,PX_VOLUME,Ticker
2014-01-02,76.27,134027.7199,5212460.0,DIS
2014-01-03,76.11,133746.5552,4061042.0,DIS
2014-01-06,75.82,133236.9441,6816693.0,DIS
2014-01-07,76.34,134150.7295,4511157.0,DIS
2014-01-08,75.22,132182.5763,10914858.0,DIS
2014-01-09,74.9,131620.2468,8077726.0,DIS
2014-01-10,75.39,132481.3138,6255271.0,DIS
2014-01-13,73.27,128755.8809,8248787.0,DIS
2014-01-14,74.45,130829.4709,6010335.0,DIS
2014-01-15,74.28,130530.7334,7299883.0,DIS
2014-01-16,74.21,130407.7238,5608249.0,DIS
2014-01-17,73.98,130003.5495,6688299.0,DIS
2014-01-21,74.2,130390.151,7548136.0,DIS
2014-01-22,75.31,132340.7314,6800281.0,DIS
2014-01-23,74.79,131426.946,6281005.0,DIS
2014-01-24,72.72,127789.3771,7338729.0,DIS
2014-01-27,72.25,126427.1899,7416257.0,DIS
2014-01-28,72.88,127529.6,5509623.0,DIS
2014-01-29,71.33,124817.3212,8609208.0,DIS
2014-01-30,73.22,128124.5515,7550625.0,DIS
2014-01-31,72.61,127057.1385,7750354.0,DIS
2014-02-03,69.99,122472.5124,11966489.0,DIS
2014-02-04,71.05,124327.3612,11829723.0,DIS
2014-02-05,71.76,125727.7597,11631868.0,DIS
2014-02-06,75.56,132385.5842,19822855.0,DIS
2014-02-07,75.67,132578.3107,11526738.0,DIS
2014-02-10,77.06,135013.6729,8785647.0,DIS
2014-02-11,77.79,136292.676,8186408.0,DIS
2014-02-12,77.91,136502.9231,6329539.0,DIS
2014-02-13,77.9,136485.4025,5955510.0,DIS
2014-02-14,79.23,138815.6411,7002635.0,DIS
2014-02-18,79.58,139428.8617,6140692.0,DIS
2014-02-19,78.87,138184.8998,7024022.0,DIS
2014-02-20,79.19,138745.5587,5748753.0,DIS
2014-02-21,80.13,140392.4942,8253018.0,DIS
2014-02-24,80.73,141443.7297,6635969.0,DIS
2014-02-25,80.21,140532.659,6065203.0,DIS
2014-02-26,80.08,140304.8913,5776068.0,DIS
2014-02-27,80.48,141005.7149,4919943.0,DIS
2014-02-28,80.81,141583.8944,7031874.0,DIS
2014-03-03,79.46,139218.6147,8451328.0,DIS
2014-03-04,81.71,143160.7476,8021840.0,DIS
2014-03-05,82.68,144860.2449,7710268.0,DIS
2014-03-06,83.34,146016.6039,5774783.0,DIS
2014-03-07,82.21,144036.7771,7478961.0,DIS
2014-03-10,81.97,143616.283,5211542.0,DIS
2014-03-11,81.05,142004.3886,7174290.0,DIS
2014-03-12,81.38,142582.5681,6378361.0,DIS
2014-03-13,79.93,140042.0824,8570629.0,DIS
2014-03-14,80.07,140287.3707,7754672.0,DIS
2014-03-17,81.39,142600.0887,7282393.0,DIS
2014-03-18,81.99,143651.3241,5395913.0,DIS
2014-03-19,80.52,141075.7973,6403205.0,DIS
2014-03-20,80.81,141583.8944,5968527.0,DIS
2014-03-21,80.35,140777.9472,7841172.0,DIS
2014-03-24,79.49,139271.1764,7643653.0,DIS
2014-03-25,79.55,139376.3,6693822.0,DIS
2014-03-26,78.62,137746.885,6752012.0,DIS
2014-03-27,78.48,137501.5968,9194723.0,DIS
2014-03-28,78.99,138395.1469,5281656.0,DIS
2014-03-31,80.07,140287.3707,6848852.0,DIS
2014-04-01,81.57,142915.4593,6555910.0,DIS
2014-04-02,81.67,143090.6652,6073524.0,DIS
2014-04-03,81.69,143125.7064,4930098.0,DIS
2014-04-04,80.43,140918.112,8894844.0,DIS
2014-04-07,79.13,138640.4352,9001326.0,DIS
2014-04-08,79.57,139411.3412,7085161.0,DIS
2014-04-09,80.47,140988.1943,7005696.0,DIS
2014-04-10,77.51,135802.0994,10160154.0,DIS
2014-04-11,77.01,134926.0699,9206216.0,DIS
2014-04-14,77.62,135994.8259,5964923.0,DIS
2014-04-15,77.66,136064.9083,6404957.0,DIS
2014-04-16,78.95,138325.0645,5960869.0,DIS
2014-04-17,79.99,140147.206,7627952.0,DIS
2014-04-21,79.11,138605.394,7080747.0,DIS
2014-04-22,79.45,139201.0941,5876138.0,DIS
2014-04-23,79.52,139323.7382,4149634.0,DIS
2014-04-24,79.59,139446.3823,4635013.0,DIS
2014-04-25,78.23,137063.582,6193863.0,DIS
2014-04-28,77.78,136275.1554,7522690.0,DIS
2014-04-29,78.64,137781.9262,4608880.0,DIS
2014-04-30,79.34,139008.3676,6550228.0,DIS
2014-05-01,79.56,139393.8206,6486920.0,DIS
2014-05-02,80.31,140707.8649,7599763.0,DIS
2014-05-05,81.22,142302.2386,5672735.0,DIS
2014-05-06,81.03,140331.3287,10696487.0,DIS
2014-05-07,80.29,139049.7641,11907798.0,DIS
2014-05-08,81.6,141318.4799,9258242.0,DIS
2014-05-09,81.95,141924.6253,5376634.0,DIS
2014-05-12,82.42,142738.5921,5704379.0,DIS
2014-05-13,82.08,142149.7651,5274805.0,DIS
2014-05-14,80.92,140140.8259,6192041.0,DIS
2014-05-15,80.15,138807.3059,7688663.0,DIS
2014-05-16,80.39,139222.9485,5823957.0,DIS
2014-05-19,81.05,140365.9656,4897949.0,DIS
2014-05-20,81.09,140435.2394,6023361.0,DIS
2014-05-21,82.19,142340.2679,4736535.0,DIS
2014-05-22,82.35,142617.363,4651995.0,DIS
2014-05-23,83.32,144297.2518,4580584.0,DIS
2014-05-27,83.74,145024.6263,5197723.0,DIS
2014-05-28,83.6,144782.1681,4652083.0,DIS
2014-05-29,84.03,145526.8611,6522392.0,DIS
2014-05-30,84.01,145492.2242,6351807.0,DIS
2014-06-02,84.27,145942.5037,3933943.0,DIS
2014-06-03,83.88,145267.0845,4541453.0,DIS
2014-06-04,84.24,145890.5483,5800205.0,DIS
2014-06-05,84.78,146825.7442,5955977.0,DIS
2014-06-06,84.61,146531.3307,5302807.0,DIS
2014-06-09,85.48,148038.0351,5672010.0,DIS
2014-06-10,84.75,146773.7888,4632627.0,DIS
2014-06-11,84.31,146011.7774,4300940.0,DIS
2014-06-12,82.8,143396.6928,7237220.0,DIS
2014-06-13,82.8,143396.6928,4711915.0,DIS
